name,grammar,hop,n_edges,n_pairs,hide_hop_token,schedule,attn,krylov_m,krylov_rho,krylov_beta,krylov_state_decay,n_layers,d_model,n_heads,d_ff,seed,steps_budget,solved_step,best_acc,best_eval_loss,final_acc,final_eval_loss,final_ppl,elapsed_s
path_h3_d2_krylov_then_softmax_m2_seed2,path,3,3,6,True,krylov>softmax,krylov,2,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.6567698422600241,1.0,0.6567698422600241,1.9285527328417444,2.953641891479492
path_h3_d2_krylov_then_softmax_m2_seed3,path,3,3,6,True,krylov>softmax,krylov,2,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.6581616934608011,1.0,0.6581616934608011,1.9312388601898578,2.941277503967285
path_h3_d2_krylov_then_softmax_m3_seed1,path,3,3,6,True,krylov>softmax,krylov,3,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.6565994851729449,1.0,0.6565994851729449,1.928224218199092,3.8476667404174805
path_h3_d2_krylov_then_softmax_m3_seed2,path,3,3,6,True,krylov>softmax,krylov,3,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.6567656545078053,1.0,0.6567656545078053,1.9285446565576692,3.842864751815796
path_h3_d2_krylov_then_softmax_m3_seed3,path,3,3,6,True,krylov>softmax,krylov,3,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.6581381994135239,1.0,0.6581381994135239,1.931193488105762,3.8413591384887695
path_h3_d3_softmax_m1_seed1,path,3,3,6,True,softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6550828036139993,1.0,0.6550828036139993,1.925301932734258,0.7207047939300537
path_h3_d3_softmax_m1_seed2,path,3,3,6,True,softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.6547270073610194,1.0,0.6547270073610194,1.9246170393692077,0.7222683429718018
path_h3_d3_softmax_m1_seed3,path,3,3,6,True,softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.6551390255198759,1.0,0.6551390255198759,1.925410179921207,0.721668004989624
path_h3_d3_krylov_m1_seed1,path,3,3,6,True,krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6575867316302131,1.0,0.6575867316302131,1.93012879071387,4.8673365116119385
path_h3_d3_krylov_m1_seed2,path,3,3,6,True,krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.6553153907551484,1.0,0.6553153907551484,1.925749785286995,4.864276647567749
path_h3_d3_krylov_m1_seed3,path,3,3,6,True,krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.659824977201574,1.0,0.659824977201574,1.93445373126579,4.868266820907593
path_h3_d3_krylov_m2_seed1,path,3,3,6,True,krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6573781518375172,1.0,0.6573781518375172,1.9297262468335457,7.7574782371521
path_h3_d3_krylov_m2_seed2,path,3,3,6,True,krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.6554910856134751,1.0,0.6554910856134751,1.9260881593471144,7.7484352588653564
path_h3_d3_krylov_m2_seed3,path,3,3,6,True,krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.6603370470159194,1.0,0.6603370470159194,1.9354445602939865,7.735513210296631
path_h3_d3_krylov_m3_seed1,path,3,3,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6576065400067498,1.0,0.6576065400067498,1.9301670238103874,10.699747800827026
path_h3_d3_krylov_m3_seed2,path,3,3,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.655760981054867,1.0,0.655760981054867,1.9266080719189016,10.725953578948975
path_h3_d3_krylov_m3_seed3,path,3,3,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.6600019595202278,1.0,0.6600019595202278,1.9347961256704618,10.724203109741211
path_h3_d3_krylov_then_softmax_m1_seed1,path,3,3,6,True,krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6577899203580968,1.0,0.6577899203580968,1.9305210109735254,3.5152359008789062
path_h3_d3_krylov_then_softmax_m1_seed2,path,3,3,6,True,krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.6570387812221752,1.0,0.6570387812221752,1.9290714655627617,3.514256000518799
path_h3_d3_krylov_then_softmax_m1_seed3,path,3,3,6,True,krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.6596456667956184,1.0,0.6596456667956184,1.9341068946785682,3.506253242492676
